t,finance_phi,finance_H,text_phi,text_H,sensor_phi,sensor_H,audio_phi,audio_H,random_phi,random_H,action_node,action_op,action_amount,note
13,0.1576026264375393,0.947091603728088,0.19579206623006273,0.9658650613230455,0.5424639023323212,0.7220077343473867,0.9932479573046874,0.16580617538296566,0.21220425768249374,0.9809396637195379,,,,
14,0.16288786662958732,0.9721460056442837,0.1132590146827791,0.9671973785846448,0.3738535026030435,0.8798435991651058,0.9912695778339428,0.17569279159522383,0.1680281841104163,0.958399772082608,,,,
15,0.2604962272642839,0.936729348958697,0.23866810755885615,0.9555460250815795,0.4434172722694999,0.8921867034682425,0.9934642077582829,0.17060116897542998,0.27810598399666175,0.9717137463493403,,,,
16,0.2140586181740297,0.960920455754461,0.15208659774597688,0.9664476528867979,0.37066165839178433,0.9269809240010092,0.993256668512415,0.17986370056897233,0.1534552775247644,0.9544000351716235,,,,
17,0.3102475930537856,0.9535183833256748,0.1982405329342104,0.9749467904614949,0.7075273012503004,0.6057572874677298,0.9921537533419911,0.17639973291232305,0.20477737619746916,0.9572107750618473,,,,
18,0.3326799671219759,0.9286060520610029,0.13871052351993984,0.9750444292231917,0.5564581567127869,0.7888884208548707,0.9930882411497127,0.17429151550922958,0.21087301095949917,0.9604660193824734,,,,
19,0.19113296985220096,0.9748772602221905,0.17851181895603874,0.97705284482195,0.5517982666651389,0.7543299737323899,0.9928542036531397,0.17395385126550525,0.19891814713930556,0.97398986603334,,,,
20,0.3505420238464113,0.9450896678282834,0.2800018359141071,0.9476993243349522,0.3236193035309276,0.941824964495645,0.992672767171177,0.18086401272262914,0.11499446947960323,0.9649240684806394,,,,
21,0.21318045623945103,0.9762480079062122,0.26239179145290015,0.955818813879582,0.2935118382106341,0.9210286118640341,0.991931934446678,0.18406071548050082,0.24895512203834302,0.9551851233053019,,,,
22,0.05655836227755473,0.9525970337034859,0.24251786379462648,0.9652156161162188,0.37275229378447783,0.9539079569991324,0.9920397804386266,0.17551301471221065,0.21416950917123767,0.9642589800914052,,,,
23,0.1951944122892202,0.9715462864653637,0.19652146901846224,0.9671998581289124,0.23902236914794284,0.9589345294480605,0.9925404321860373,0.18267668910771245,0.14240375970693153,0.9671615874402745,,,,
24,0.5792132090282884,0.7061883671822203,0.1818297076935207,0.9616518929760252,0.4074131053637988,0.9378318268902603,0.9932848896077499,0.1679312889557238,0.15908994947307775,0.949628732277211,finance,restabilized,21,auto
25,0.2854796498456327,0.9452932797387026,0.1304864460239169,0.9657444022057733,0.28023849396986955,0.9455862804024914,0.9919623600719439,0.1797647518170232,0.1997000954266086,0.9532364635043941,finance,restabilized,21,auto
26,0.16408128220477658,0.9773131345932227,0.11147755851646757,0.9574346211806756,0.4071051486237093,0.86620153971595,0.9928059335617437,0.17252291227408276,0.08436196926544592,0.9495765143659927,finance,restabilized,21,auto
27,0.2750609231371458,0.9257615377075548,0.19678545670701264,0.9695802959632271,0.25445962206604944,0.9644270946303802,0.9927461154906966,0.1704568004089993,0.22375969539183582,0.9720600874319245,finance,restabilized,21,auto
28,0.1280014336497689,0.9634719361830001,0.25413143815304506,0.9669553822899537,0.45778571138865554,0.8181044651581221,0.9926602808421144,0.1713706362800918,0.23127770778473278,0.9812097400393578,finance,restabilized,21,auto
29,0.22609120350435097,0.9505393553989521,0.11012638138024433,0.9513116773454643,0.27188678743515704,0.9661350823975553,0.9935577887171446,0.17695119617828753,0.10065763864411892,0.9767057751630619,finance,restabilized,21,auto
30,0.23610116707777606,0.9708126727279733,0.15128394533275258,0.9674508044882092,0.19138575834409488,0.9633015121451611,0.9918755730526055,0.1900720247394883,0.20924667089829263,0.9533162964850591,finance,restabilized,21,auto
31,0.4494646659839586,0.8339202209598797,0.20033795050017034,0.9716950508198032,0.14080892834453507,0.958745555209633,0.993455839215927,0.19040262056823867,0.24234654582681647,0.9530769295463075,finance,restabilized,21,auto
32,0.10994727828421536,0.9726808956910411,0.289833713763614,0.9738612662499359,0.5933807665194123,0.8007583018972031,0.9922466355346268,0.17830409372727407,0.1914898732816681,0.9734857580747637,sensor,restabilized,2,auto
33,0.14104983405546134,0.9565399914624347,0.2975517898214055,0.9547391678543835,0.5726317610161757,0.7435758551795881,0.9911889423550748,0.1804110610194166,0.13605279509920054,0.9743400149285139,sensor,restabilized,2,auto
34,0.2550743241763891,0.934887443278814,0.24138198468490724,0.9751417688030921,0.31851076043854876,0.9404466861995324,0.9907294407574619,0.18862028862333477,0.23968943159707257,0.969355062773765,sensor,restabilized,2,auto
35,0.17785502184306856,0.9813589022216043,0.1564554504516379,0.9612206116169248,0.7838612891343005,0.5442230143605092,0.9926398457503356,0.19060414287027566,0.18757722073181926,0.9673905941098294,sensor,restabilized,2,auto
36,0.40008091472477647,0.8690206714247533,0.20499120167712592,0.9741718219725382,0.4069668456556086,0.8674307682670394,0.9933998474551619,0.1786326368454699,0.18965123793987682,0.9832963822204388,sensor,restabilized,2,auto
37,0.36303876778577127,0.9233522502095619,0.16273332802127938,0.9722248959974096,0.3005030014207638,0.9253766820211758,0.9913295105938682,0.1773273506302416,0.2514611412161075,0.9521905997491256,sensor,restabilized,2,auto
38,0.22099142891202594,0.9611628950716223,0.21420585122723212,0.9567729594579308,0.24862463055680273,0.9705188910010929,0.9927979253980734,0.17619148706996346,0.17466567170252478,0.9666317507720347,sensor,restabilized,2,auto
39,0.23850815374372902,0.976496612497655,0.18434972082176182,0.9654490519315395,0.32970265439295277,0.9614894767261196,0.9927205550109106,0.19149771769452753,0.16831711071868216,0.9600924081063524,sensor,restabilized,2,auto
40,0.2767866439873281,0.9628116769525439,0.14327896619647673,0.9557066800597017,0.3090939483040569,0.9488758879948602,0.9920083937674531,0.17960466762352004,0.17925890139990242,0.9639900727440928,sensor,restabilized,2,auto
41,0.35727294495775563,0.9358262636012544,0.16705295300774858,0.9793254388358887,0.5324896978793698,0.7703111832411907,0.9924947289583549,0.17265130661907818,0.15098451707080873,0.9497680917662354,sensor,restabilized,2,auto
42,0.2475999136168261,0.9431960417991301,0.10977671160977787,0.9715303797934904,0.48875750167371124,0.830225589000683,0.9929237479719356,0.17800898703909457,0.2559849870809894,0.9761919212165783,sensor,restabilized,2,auto
43,0.26714152001120384,0.9394651999944592,0.1867376145784675,0.9686281007182636,0.3154740938712297,0.9353959007311883,0.9906316900482756,0.17704693169423585,0.16442276625247176,0.9657328633470945,sensor,restabilized,2,auto
44,0.2350594186089663,0.9481547184057082,0.23964886039507327,0.9559115716970273,0.31899277089124056,0.8969804441924405,0.9923325350863762,0.17817767922344752,0.1663526146858484,0.9795703165633274,sensor,restabilized,2,auto
45,0.2412725608753229,0.9657456959006885,0.19796607246907183,0.9692517205537767,0.3529648739077954,0.926844267257853,0.9935955991598013,0.17211877000719397,0.13705332882441956,0.9548627139131591,sensor,restabilized,2,auto
46,0.233751112204012,0.9719956253347455,0.23799400337360344,0.9552491226242449,0.3557922698661169,0.923816760541904,0.9915429292234086,0.1853135446507447,0.18953826497952841,0.962335889616897,sensor,restabilized,2,auto
47,0.2158386532353257,0.9666160003663478,0.10827164912879905,0.964172230633374,0.6601315257823832,0.6517403513271648,0.9920556487676386,0.17976374506913714,0.1688094727320547,0.9726883099075595,sensor,restabilized,2,auto
48,0.3029320733563048,0.9767734863636892,0.15971359460557777,0.9689038659425429,0.4081577971924407,0.8517593143094535,0.993630582672063,0.17936342706805428,0.10382336524164404,0.967721342101397,sensor,restabilized,2,auto
49,0.30804286272085213,0.971369312155872,0.21241769708950442,0.9804782146773168,0.30711066417439126,0.9599499782260846,0.9925825962879089,0.1898414377180816,0.11427770882217392,0.9768224292721459,sensor,restabilized,2,auto
50,0.2769645305428521,0.9473379714858972,0.2000242222132501,0.967062818167791,0.25781415130798924,0.9423529809118174,0.9916472287171703,0.17736689933758357,0.22920400343278347,0.9680096083668832,sensor,restabilized,2,auto
51,0.3945356998530203,0.9085869837622426,0.27037775139704934,0.9731585893942111,0.516937294494358,0.762333266271036,0.9927860953210118,0.1700462061791081,0.18195021873028128,0.9603052286867901,sensor,restabilized,2,auto
52,0.24061847197130548,0.9724225985773515,0.17046675059474303,0.9687605166654931,0.5303112943524768,0.7611096426462971,0.9923275861660171,0.19017212607562065,0.203053078601118,0.9776407113119829,sensor,restabilized,2,auto
53,0.2610515141192563,0.9544984376153447,0.26903689377158835,0.9593695411880242,0.34460063532074336,0.8797880572406873,0.9933229938242646,0.17653831640971324,0.2032808036167214,0.9487883557355451,sensor,restabilized,2,auto
