Symbol,last_close,med_dollar,active_days,sessions,first,peak,crush,age_years
MTG,31.12,48467074.623365946,32,32,2016-01-04,31.16,1.0012853470437018,10.620123203285422
MTGP,43.655,322115.518424525,32,32,2019-11-14,51.82,1.1870347039285305,6.759753593429158
MTH,70.68,60086259.35620305,32,32,2016-01-04,106.845,1.5116723259762308,10.620123203285422
MTLS,6.69,380804.398936145,32,32,2016-01-04,80.62,12.050822122571,10.620123203285422
MTN,149.78,87508514.43148881,32,32,2016-01-04,372.51,2.4870476699158766,10.620123203285422
MTRN,264.03,71259460.70542061,32,32,2016-01-04,297.39,1.1263492784910807,10.620123203285422
MTRX,11.65,2110525.3499093996,32,32,2016-01-04,25.75,2.2103004291845494,10.620123203285422
MTSI,292.875,389213918.50912005,32,32,2016-01-04,409.68,1.3988220230473751,10.620123203285422
MTUM,311.81,447395876.39111763,32,32,2016-01-04,345.22,1.1071485840736346,10.620123203285422
MTW,19.3,3040752.2390935197,32,32,2016-01-04,67.76,3.510880829015544,10.620123203285422
MTX,71.72,13888351.94171279,32,32,2016-01-04,88.9,1.2395426659230342,10.620123203285422
MTZ,280.13,369378963.6096301,32,32,2016-01-04,437.51,1.5618105879413129,10.620123203285422
MU,940.76,34940134071.9524,32,32,2016-01-04,1213.56,1.2899783154045665,10.620123203285422
MUA,10.06,2860692.991504525,32,32,2016-01-04,17.46,1.7355864811133201,10.620123203285422
MUB,105.37,421796158.92936635,32,32,2016-01-04,117.94,1.1192939166745752,10.620123203285422
MUC,10.68,3864917.1003561,32,32,2016-01-04,16.33,1.5290262172284643,10.620123203285422
MUFG,22.72,69294776.85098982,32,32,2018-04-02,23.1,1.0167253521126762,8.37782340862423
MUJ,12.21,932120.8343654999,32,32,2016-01-04,16.45,1.347256347256347,10.620123203285422
MUNI,51.675,14651029.81002784,32,32,2016-01-04,57.1,1.1049830672472183,10.620123203285422
MUR,35.18,55023181.027958535,32,32,2016-01-04,50.73,1.4420125071063103,10.620123203285422
MUSA,574.12,151965794.7462402,32,32,2016-01-04,622.78,1.0847558001811468,10.620123203285422
MUST,20.2478,2058282.6544773453,32,32,2018-10-10,22.8,1.126048262033406,7.854893908281999
MUX,18.36,15970359.54535049,32,32,2016-01-04,47.9,2.6089324618736383,10.620123203285422
MVBF,30.91,1140643.9257482,32,32,2017-12-07,44.98,1.4551924943384018,8.695414099931554
MVV,91.52,369472.0261713315,32,32,2016-01-04,94.79,1.0357298951048952,10.620123203285422
MWA,24.91,25965780.9260448,32,32,2016-01-04,30.37,1.2191890806904857,10.620123203285422
MXF,21.16,656210.10322944,32,32,2016-01-04,22.81,1.077977315689981,10.620123203285422
MXI,110.364,1230782.0808650951,32,32,2016-01-04,116.537,1.0559330941248959,10.620123203285422
MXL,72.63,239827083.25715062,32,32,2016-01-04,128.03,1.7627702051493874,10.620123203285422
MYE,32.15,11543451.992537055,32,32,2016-01-04,36.74,1.142768273716952,10.620123203285422
MYFW,32.17,1793402.5118200001,32,32,2018-07-19,34.19,1.0627914205781783,8.082135523613964
MYI,10.75,3029536.99948904,32,32,2016-01-04,15.86,1.4753488372093022,10.620123203285422
MYN,9.78,1473722.8222929998,32,32,2016-01-04,14.67,1.5,10.620123203285422
MYRG,323.89,93925727.66596726,32,32,2016-01-04,501.13,1.5472228225632159,10.620123203285422
NAC,11.72,4463228.508348361,32,32,2016-01-04,17.18,1.4658703071672354,10.620123203285422
NAD,11.7,6757437.564324254,32,32,2016-01-04,16.43,1.4042735042735044,10.620123203285422
NAIL,38.61,45393263.50026663,32,32,2016-01-04,176.01,4.558663558663558,10.620123203285422
NAN,11.07,788235.0274822,32,32,2016-01-04,15.9,1.4363143631436315,10.620123203285422
NANR,86.74,1776888.209558025,32,32,2016-01-04,87.04,1.00345861194374,10.620123203285422
NATH,97.5,2323652.9098475,32,32,2016-01-04,115.75,1.1871794871794872,10.620123203285422
NATR,14.65,2163385.15340331,32,32,2016-01-04,27.8,1.8976109215017065,10.620123203285422
NAVI,9.0,7411020.92165052,32,32,2016-01-04,23.49,2.61,10.620123203285422
NAZ,12.325,211020.615212775,32,32,2016-01-04,17.395,1.4113590263691684,10.620123203285422
NBB,15.31,668930.54690485,32,32,2016-01-04,24.0,1.567602873938602,10.620123203285422
NBH,10.27,896967.92512095,32,32,2016-01-04,17.5325,1.7071567672833494,10.620123203285422
NBHC,42.99,15704331.174388967,32,32,2016-01-04,51.24,1.1919050942079554,10.620123203285422
NBIX,154.23,195540957.2736063,32,32,2016-01-04,185.5,1.202749140893471,10.620123203285422
NBN,135.02,14537027.89895454,32,32,2016-01-04,137.51,1.0184417123389127,10.620123203285422
NBR,93.86,20619940.62831504,32,32,2016-01-04,909.5,9.689963775836352,10.620123203285422
NBTB,52.92,19257184.9782186,32,32,2016-01-04,54.26,1.0253212396069538,10.620123203285422
NBXG,15.47,3156906.55780695,32,32,2021-05-26,20.39,1.3180349062702004,5.229295003422314
NC,42.16,549839.4181140449,32,32,2016-01-04,97.55,2.3138045540796965,10.620123203285422
NCA,9.18,487357.800266,32,32,2016-01-04,11.45,1.247276688453159,10.620123203285422
NCLH,17.61,251261938.11790654,32,32,2016-01-04,60.93,3.4599659284497446,10.620123203285422
NCNO,20.2,37892594.60649811,32,32,2020-07-14,98.04,4.853465346534654,6.094455852156058
NCV,16.79,1011494.4285775251,32,32,2016-01-04,29.04,1.7296009529481835,10.620123203285422
NCZ,15.6,830823.56682122,32,32,2016-01-04,25.88,1.6589743589743589,10.620123203285422
NDAQ,96.71,297951858.8397755,32,32,2016-01-04,100.98,1.044152621238755,10.620123203285422
NDLS,16.29,706384.180243395,32,32,2016-01-04,107.76,6.615101289134439,10.620123203285422
NDMO,10.01,1277151.9009615,32,32,2020-08-27,17.87,1.7852147852147853,5.973990417522245
NDSN,304.21,84796287.41535518,32,32,2016-01-04,311.36,1.0235035008711089,10.620123203285422
NE,45.25,55405691.031869665,32,32,2021-06-09,54.37,1.2015469613259668,5.190965092402464
NEA,11.3,9198064.923305975,32,32,2016-01-04,15.98,1.4141592920353983,10.620123203285422
NEE,86.22,901114315.2461519,32,32,2016-01-04,97.88,1.1352354442124797,10.620123203285422
NEGG,17.67,987317.30963734,32,32,2021-05-20,1351.4,76.47990945104696,5.245722108145106
NEM,115.98,704095509.9005766,32,32,2016-01-04,131.95,1.137696154509398,10.620123203285422
NEO,15.9,29171345.85040579,32,32,2016-01-04,59.88,3.7660377358490567,10.620123203285422
NEOG,11.57,17959284.550878614,32,32,2016-01-04,48.335,4.17761452031115,10.620123203285422
NESR,35.29,51564507.37087663,32,32,2021-03-26,36.31,1.0289033720600738,5.3963039014373715
NET,301.36,891753214.4481456,32,32,2019-09-13,330.83,1.0977900185824263,6.929500342231348
NETL,26.3268,225759.60173196543,32,32,2019-03-22,32.59,1.2379020617773526,7.408624229979466
NEU,947.02,108729444.58039246,32,32,2016-01-04,961.92,1.0157335642330678,10.620123203285422
NEWT,12.79,2775867.26277529,32,32,2016-01-04,38.7,3.0258014073494923,10.620123203285422
NEXA,13.49,6951165.30504694,32,32,2017-10-27,21.06,1.5611564121571533,8.80766598220397
NEXT,6.92,17548952.32188078,32,32,2017-07-25,12.0,1.7341040462427746,9.065023956194388
NFBK,15.31,5125849.3715156,11,11,2016-01-04,20.57,1.3435662965382102,10.620123203285422
NFG,83.37,50711046.346022926,32,32,2016-01-04,96.3,1.1550917596257646,10.620123203285422
NFJ,15.63,2688165.98751843,32,32,2016-01-04,16.16,1.033909149072297,10.620123203285422
NFLT,22.805,1269397.1447231602,32,32,2016-01-04,26.14,1.1462398596798948,10.620123203285422
NFLX,77.77,2687458436.901437,32,32,2016-01-04,133.913,1.7219107625048222,10.620123203285422
NFRA,65.9284,2491239.2471812125,32,32,2016-01-04,67.36,1.0217144659964448,10.620123203285422
NFTY,53.9326,1084035.1284534598,32,32,2021-03-26,65.445,1.213459021074452,5.3963039014373715
NG,7.41,26148970.59537121,32,32,2016-01-04,14.2,1.9163292847503373,10.620123203285422
NGG,82.15,61869038.60980256,32,32,2016-01-04,93.93,1.1433962264150943,10.620123203285422
NGS,37.59,4463872.08268066,32,32,2016-01-04,44.13,1.1739824421388667,10.620123203285422
NGVC,27.85,3390728.7435979955,32,32,2016-01-04,59.74,2.1450628366247755,10.620123203285422
NGVT,73.99,16723130.943973681,32,32,2016-05-16,117.07,1.5822408433572104,10.255989048596852
NHC,234.17,23447306.07778918,32,32,2016-01-04,234.17,1.0,10.620123203285422
NHI,73.24,29945819.853750333,32,32,2016-01-04,91.02,1.242763517203714,10.620123203285422
NHS,6.01,908510.220087745,32,32,2016-01-04,13.53,2.2512479201331113,10.620123203285422
NI,42.12,213835160.10457426,32,32,2016-01-04,49.08,1.1652421652421652,10.620123203285422
NICE,99.56,50034359.481437385,32,32,2016-01-04,315.02,3.16412213740458,10.620123203285422
