trigger_idx,Symbol,Date_trigger,Close_trigger,bar_count,s_n,delta_s_n,F_n,B_k,M_k,D_k,Date_fwd20gates,Close_fwd20gates,n_calendar_days_to_fwd20gates,fwd_return_20gates,Date_fwd20cal,Close_fwd20cal,fwd_return_20cal,Date_fwd20bars,Close_fwd20bars,fwd_return_20bars
10,MFC,2020-04-03,11.34,2,0.9654154771770427,0.7147174900642479,1.360512842476437,-0.0472627975309418,0.3277434585389174,1,2020-05-04,11.87,31,0.04673721340388001,2020-05-04,11.87,0.04673721340388001,2020-05-04,11.87,0.04673721340388001
11,MCFT,2020-04-03,5.15,2,0.9609246320741126,0.7188572691121107,1.367941847239175,-0.05054323826457166,0.3175862035370165,1,2020-05-04,10.32,31,1.003883495145631,2020-05-04,10.32,1.003883495145631,2020-05-04,10.32,1.003883495145631
12,MCBS,2020-04-03,10.55,2,0.9547907401188828,0.7142560293992999,1.3740404211625314,-0.05422142896816856,0.30411641239919984,1,2020-05-04,9.8,31,-0.07109004739336493,2020-05-04,9.8,-0.07109004739336493,2020-05-04,9.8,-0.07109004739336493
13,MAT,2020-04-03,7.73,2,0.9542046767174078,0.7157569655358904,1.3640172971968776,-0.051892171837259735,0.302672412191042,1,2020-05-04,8.58,31,0.10996119016817589,2020-05-04,8.58,0.10996119016817589,2020-05-04,8.58,0.10996119016817589
14,MAIN,2020-04-03,17.34,2,0.9572383667358978,0.7180491900406982,1.3825559461888701,-0.05544295760541081,0.30935954983952896,1,2020-05-04,24.03,31,0.3858131487889274,2020-05-04,24.03,0.3858131487889274,2020-05-04,24.03,0.3858131487889274
15,LRNZ,2020-04-03,21.914,2,0.9545316907183252,0.714686706587907,1.3713399173153056,-0.053626442761805254,0.30349254632113265,1,2020-05-04,26.6399,31,0.2156566578443004,2020-05-04,26.6399,0.2156566578443004,2020-05-04,26.6399,0.2156566578443004
16,LKOR,2020-04-03,54.3695,2,0.9597351618291805,0.7113142900197874,1.3882223721533067,-0.056205799246744244,0.3155074785128989,1,2020-05-04,58.5984,31,0.07778074104047299,2020-05-04,58.5984,0.07778074104047299,2020-05-04,58.5984,0.07778074104047299
17,LEVI,2020-04-03,9.51,2,0.9661888526208806,0.7198518613166437,1.3786728801730412,-0.05147906811152281,0.32892280184886136,1,2020-05-04,12.34,31,0.2975814931650894,2020-05-04,12.34,0.2975814931650894,2020-05-04,12.34,0.2975814931650894
18,NETL,2020-04-03,15.95,2,0.9667620246695451,0.7150554333140142,1.3833291019703213,-0.0525875770632893,0.33052909903810024,1,2020-05-04,19.0783,31,0.19613166144200625,2020-05-04,19.0783,0.19613166144200625,2020-05-04,19.0783,0.19613166144200625
19,NFG,2020-04-03,35.56,2,0.9543577493889119,0.7174072294567808,1.3538373606625878,-0.049273647520686956,0.3029218082591062,1,2020-05-04,38.93,31,0.09476940382452186,2020-05-04,38.93,0.09476940382452186,2020-05-04,38.93,0.09476940382452186
20,NTSX,2020-04-03,24.98,2,0.9568784014305424,0.7132909769195167,1.3741263741861267,-0.05357208633752906,0.3089675969043748,1,2020-05-04,28.12,31,0.1257005604483587,2020-05-04,28.12,0.1257005604483587,2020-05-04,28.12,0.1257005604483587
21,NUMV,2020-04-03,18.5795,2,0.9665143868447477,0.7095130173013207,1.3762513355916317,-0.05100903916286666,0.33047875035864305,1,2020-05-04,21.82,31,0.17441265911353918,2020-05-04,21.82,0.17441265911353918,2020-05-04,21.82,0.17441265911353918
22,PPL,2020-04-03,21.77,2,0.966333695745941,0.7139816168649542,1.4140670040129952,-0.06054316805891818,0.32960579804602164,1,2020-05-04,24.96,31,0.14653192466697296,2020-05-04,24.96,0.14653192466697296,2020-05-04,24.96,0.14653192466697296
