trade_idx,ticker,entry_date,bar_count_at_entry,spy_dk_at_entry,species_classification,W1,W2,W3,cohort,days_held,pnl_pct,exit_reason
497,SFM,2023-03-03,736,0,,False,False,False,noW3,39,0.016229,exit_a_not_accumulate
498,DHCNI,2023-02-03,717,0,,False,False,False,noW3,70,-0.110752,exit_f_catastrophic
499,FLGT,2023-02-13,723,0,,False,False,False,noW3,71,-0.123711,exit_f_catastrophic
500,TENB,2023-03-31,756,0,,False,False,False,noW3,25,-0.217771,exit_f_catastrophic
501,LILAK,2023-04-11,762,0,,False,False,False,noW3,14,-0.112472,exit_f_catastrophic
502,WILC,2023-03-24,716,0,,False,False,False,noW3,34,-0.085714,exit_a_not_accumulate
503,FRD,2023-04-20,769,0,,False,False,False,noW3,7,-0.062342,exit_a_not_accumulate
504,MCRI,2023-04-20,769,0,,False,False,False,noW3,7,-0.049739,exit_a_not_accumulate
505,SBS,2023-03-13,742,0,,False,False,False,noW3,50,-0.101005,exit_f_catastrophic
506,MD,2023-03-15,744,0,,False,False,False,noW3,48,0.065799,exit_a_not_accumulate
507,AMRC,2023-04-26,773,0,,False,False,False,noW3,6,0.077311,exit_a_not_accumulate
508,ARKF,2023-04-05,759,0,,False,False,False,noW3,28,-0.040701,exit_a_not_accumulate
509,TQQQ,2023-04-04,758,0,,False,False,False,noW3,30,-0.032399,exit_a_not_accumulate
510,LILAK,2023-04-25,772,0,,False,False,False,noW3,9,0.025157,exit_a_not_accumulate
511,Z,2023-05-02,777,0,,False,False,False,noW3,2,0.090271,exit_a_not_accumulate
512,HDSN,2023-04-28,775,0,,False,False,False,noW3,7,0.052972,exit_a_not_accumulate
513,FET,2023-05-04,779,0,,False,False,False,noW3,1,0.032857,exit_a_not_accumulate
514,VRRM,2022-12-08,679,0,,False,False,False,noW3,152,0.198198,exit_a_not_accumulate
515,REX,2023-04-21,770,0,,False,False,False,noW3,19,0.003153,exit_a_not_accumulate
516,INSW,2023-05-09,782,0,,False,False,False,noW3,1,0.029126,exit_a_not_accumulate
517,ZG,2023-05-01,776,0,,False,False,False,noW3,10,0.053346,exit_a_not_accumulate
518,TQQQ,2023-05-05,780,0,,False,False,False,noW3,6,0.033096,exit_a_not_accumulate
519,VRRM,2023-05-10,783,0,,False,False,False,noW3,1,0.012209,exit_a_not_accumulate
