ticker,target_date,bar_count,frame_a_s_n,frame_b_s_n,abs_diff,both_in_w1_band,only_a,only_b,band_label
AGGY,2020-04-03,2,0.9677105042201711,0.5625505603780917,0.40515994384207943,False,True,False,only_A_in_band
SHY,2021-11-01,7,0.8812748216771435,1.0617430496004967,0.18046822792335315,False,False,False,neither_in_band
MVBF,2020-04-22,14,1.0220106842086394,1.029008992622465,0.006998308413825649,False,False,False,neither_in_band
BK,2020-04-22,14,0.923219698274475,0.9231985894659406,2.1108808534453516e-05,False,False,False,neither_in_band
XMVM,2020-04-15,9,0.9280050620329152,0.7929616864192206,0.13504337561369462,False,False,False,neither_in_band
EQBK,2020-04-03,2,0.954258683238043,0.5310084297806675,0.42325025345737544,False,True,False,only_A_in_band
PLAY,2020-04-03,2,0.9470611743634783,0.5424204517646299,0.4046407225988483,False,False,False,neither_in_band
MPB,2020-04-30,20,0.943577861399674,0.8480669443418184,0.09551091705785564,False,False,False,neither_in_band
GOOS,2020-04-03,2,0.952749999262871,0.5586421999082841,0.39410779935458684,False,False,False,neither_in_band
SPMO,2020-04-03,2,0.9222165258361457,0.48399812839839684,0.4382183974377488,False,False,False,neither_in_band
CGEN,2020-04-22,14,0.8616771491706328,0.842071851566328,0.01960529760430474,False,False,False,neither_in_band
OMF,2020-04-15,9,0.8253930536440053,0.8439565539141154,0.01856350027011011,False,False,False,neither_in_band
UGI,2020-04-22,14,0.9197609607238739,0.9536103424688521,0.0338493817449782,False,False,False,neither_in_band
MO,2020-04-17,11,0.9057840564010539,0.9305303223492798,0.02474626594822593,False,False,False,neither_in_band
SHAG,2020-04-07,2,0.9515696841816086,1.0880850060168505,0.13651532183524195,False,False,False,neither_in_band
ESP,2020-04-03,2,0.9471149300810245,0.5363525677043752,0.4107623623766493,False,False,False,neither_in_band
FTHI,2020-04-03,2,0.9617267121588287,0.5462319569134617,0.41549475524536694,False,True,False,only_A_in_band
CTO,2020-04-03,2,0.9630138367492828,0.5575526483496258,0.40546118839965695,False,True,False,only_A_in_band
DOGZ,2020-04-03,2,0.9402045795235631,0.5441163080729428,0.3960882714506203,False,False,False,neither_in_band
SSL,2020-04-03,2,0.9559678539459676,0.5496306716560166,0.40633718228995097,False,True,False,only_A_in_band
EVER,2020-04-03,2,0.9231197936364484,0.4899604246271375,0.43315936900931085,False,False,False,neither_in_band
BFST,2020-04-03,2,0.9454980188358175,0.4868107225816351,0.4586872962541824,False,False,False,neither_in_band
SJ,2020-06-08,19,1.0880103369582335,0.9757031303295913,0.11230720662864213,False,False,False,neither_in_band
THRM,2020-04-15,9,0.8923139097162396,0.9329733748244142,0.04065946510817464,False,False,False,neither_in_band
IUS,2020-04-03,2,0.957245658860126,0.537770449036535,0.419475209823591,False,True,False,only_A_in_band
AROW,2020-04-15,9,0.9026440397706984,0.9148467468855533,0.012202707114854938,False,False,False,neither_in_band
DGRO,2020-04-03,2,0.94166173531565,0.48618399041355526,0.45547774490209475,False,False,False,neither_in_band
OVBC,2020-04-07,4,0.9235122117754492,0.9269876445890037,0.0034754328135545576,False,False,False,neither_in_band
FUNC,2020-04-03,2,0.9584264875422716,0.5425419864642875,0.415884501077984,False,True,False,only_A_in_band
IEUR,2020-04-09,6,0.8463326271186998,0.8728320022013583,0.026499375082658427,False,False,False,neither_in_band
GLW,2020-04-03,2,0.9437254974187849,0.5528582029901933,0.3908672944285916,False,False,False,neither_in_band
RY,2020-04-09,6,0.9032279452567359,0.9387707472278345,0.0355428019710986,False,False,False,neither_in_band
FMF,2020-04-08,4,0.8183443524267746,0.8149470141027995,0.003397338323975152,False,False,False,neither_in_band
HYHG,2020-04-15,9,0.8439214059203511,0.7861804043922862,0.05774100152806494,False,False,False,neither_in_band
REX,2020-04-03,2,0.9476776706524133,0.538525307422958,0.40915236322945525,False,False,False,neither_in_band
GLP,2020-04-20,11,0.9849053057751347,1.0224027112136467,0.03749740543851199,False,False,False,neither_in_band
SCHI,2020-04-06,2,0.9564780268842779,1.1136150253695176,0.15713699848523976,False,True,False,only_A_in_band
PLAB,2020-04-03,2,0.9446633870376502,0.548549578404192,0.39611380863345813,False,False,False,neither_in_band
TAK,2020-04-06,2,0.9777763354573153,1.1417964568382406,0.16402012138092525,False,False,False,neither_in_band
MPAA,2020-04-03,2,0.9620178308054427,0.5499806951840345,0.4120371356214082,False,True,False,only_A_in_band
TRP,2020-04-29,19,1.0779023226576618,0.9690928195880297,0.10880950306963211,False,False,False,neither_in_band
IFGL,2020-04-03,2,0.9730839535037854,0.5554389347963412,0.4176450187074442,False,False,False,neither_in_band
XLY,2020-04-28,18,0.8826952228788374,0.9510276448269329,0.06833242194809552,False,False,False,neither_in_band
HNDL,2020-04-03,2,0.9608943093416455,0.5532508203108503,0.4076434890307953,False,True,False,only_A_in_band
FDEV,2020-04-03,2,0.9765822588388147,0.5412013290670348,0.4353809297717799,False,False,False,neither_in_band
ROAM,2020-04-03,2,0.9824805453018605,0.5390160197423407,0.44346452555951976,False,False,False,neither_in_band
HFWA,2020-04-15,9,0.9910366325184881,1.000851141809516,0.009814509291028006,False,False,False,neither_in_band
NUS,2020-04-23,15,1.034583563239163,0.9050714482688514,0.12951211497031145,False,False,False,neither_in_band
IYH,2020-04-03,2,0.9526652639084342,0.4864736915536444,0.4661915723547898,False,False,False,neither_in_band
DOW,2020-04-03,2,0.9283461147292443,0.4895322554022605,0.43881385932698386,False,False,False,neither_in_band
CHMI,2020-04-08,5,0.9453683025813302,0.9619078354625978,0.016539532881267638,False,False,True,only_B_in_band
UXI,2020-04-03,2,0.9504884573165194,0.5448756866433427,0.4056127706731767,False,False,False,neither_in_band
BK,2020-04-03,2,0.9414798284249511,0.5330368897686693,0.4084429386562819,False,False,False,neither_in_band
WFC,2020-04-09,6,0.9058679665257757,0.9746061421375375,0.06873817561176176,False,False,False,neither_in_band
HEWJ,2020-04-03,2,0.9404567666942796,0.5342390851343802,0.40621768155989935,False,False,False,neither_in_band
EMHY,2020-04-03,2,0.9751658198213596,0.5375415436545208,0.43762427616683885,False,False,False,neither_in_band
BFS,2020-04-03,2,0.9526413551631767,0.5308930916323259,0.4217482635308508,False,False,False,neither_in_band
PJP,2020-04-06,3,0.9336729238147351,1.0779418665422695,0.14426894272753443,False,False,False,neither_in_band
QTWO,2020-04-03,2,0.9193066973777966,0.484336417928193,0.4349702794496036,False,False,False,neither_in_band
MUST,2020-08-14,13,0.9693928713290024,0.9761202912816853,0.006727419952682889,False,False,False,neither_in_band
AMLP,2020-04-03,2,0.9624338692758466,0.5365485108968809,0.4258853583789657,False,True,False,only_A_in_band
DLS,2020-04-20,12,0.9260621080055583,0.9447816769785838,0.018719568973025513,False,False,False,neither_in_band
HUN,2020-04-03,2,0.9543295795756207,0.5552776049008789,0.39905197467474185,False,True,False,only_A_in_band
UFEB,2020-04-03,2,0.9629945133172501,0.5509968855710251,0.41199762774622495,False,True,False,only_A_in_band
IGLB,2020-04-28,18,1.088800124970573,1.088800124970573,0.0,False,False,False,neither_in_band
HEFA,2020-04-28,18,1.0593204231738393,1.116474131306601,0.05715370813276155,False,False,False,neither_in_band
