ticker,delta_bar,n_rows,classification
CNDT,0.25756186884319193,876,normal
CNF,0.2260380089105773,1488,normal
CNK,0.25873307857168076,1561,normal
CNNE,0.2683986979925866,1558,normal
CNO,0.21963356299654627,1557,normal
CNP,0.28846818947303365,1546,volatile
CNQ,0.2710607745449939,1558,volatile
CNTY,0.23767119410374082,1142,normal
CNX,0.28935755883035635,1557,volatile
CNXN,0.3030928192473329,1562,volatile
CNXT,0.18421138650366714,1555,calm
COCP,0.18414086930739973,917,calm
CODA,0.2338399584460135,1307,normal
COFS,0.2273150204176015,1527,normal
COLB,0.23625278260658494,1562,normal
COLD,0.24337661123250695,1558,normal
COM,0.23701914633299084,1151,normal
COMT,0.18472747712994023,1512,calm
COO,0.28300317607918796,1561,volatile
COTY,0.2791173886394444,1278,volatile
COWZ,0.22305563571447676,1559,normal
CP,0.3813011532573587,1562,volatile
CPB,0.26073739636127763,1561,normal
CPF,0.255935979978165,1558,normal
CPHC,0.19841941468383462,1329,calm
CPRT,0.22170741659132961,1558,normal
CPRX,0.20331905445991139,1408,calm
CPS,0.1990683580594578,1562,calm
CPZ,0.24201574184877142,1120,normal
CQQQ,0.23501418491952764,1561,normal
CRDF,0.19034983955652365,1028,calm
CREG,0.12208488735764793,1406,calm
CRESY,0.24777306793420528,1371,normal
CRH,0.2387694492438706,1562,normal
CRK,0.2660289579089314,1527,normal
CRMD,0.17525321712880482,1341,calm
CRNT,0.24074174131880316,468,normal
CRNX,0.2355635227793175,1562,normal
CRON,0.2074102533031271,737,calm
CRT,0.193241594235794,1404,calm
CRTO,0.22507197325998995,1558,normal
CRUS,0.2019987876161819,1562,calm
CRVL,0.21352420551591594,1562,calm
CRWS,0.25510760607929395,419,normal
CSB,0.28790580205761995,1560,volatile
CSGS,0.24802904251850652,1504,normal
CSM,0.21940159686510133,1562,normal
CSPI,0.19107009733217067,1224,calm
CSQ,0.24779579966182078,1275,normal
CSTM,0.2463953522378556,1560,normal
CSV,0.24000025299143196,1562,normal
CSWC,0.27536123976716903,1527,volatile
CSX,0.24896059465368642,1560,normal
CTBI,0.24018850695963384,1561,normal
CTMX,0.19060304078800863,837,calm
CTO,0.22831054826892166,1462,normal
CTRE,0.24460242088868508,1538,normal
CTS,0.30136126028091187,1562,volatile
CTSO,0.25511631057688505,761,normal
CTVA,0.2957625808028405,1562,volatile
CUBE,0.2741324122932057,1561,volatile
CUBI,0.26451880316411663,1562,normal
CUK,0.24316720528923289,1528,normal
CUT,0.28622191113948847,1559,volatile
CUZ,0.2259223032098218,1561,normal
CVEO,0.22411329103704525,1556,normal
CVGI,0.2676055622431739,1202,normal
CVGW,0.2374599903158654,1543,normal
CVI,0.3102336234930983,1561,volatile
CVV,0.21072826923239088,1144,calm
CVY,0.2756856927354076,1462,volatile
CWCO,0.24494192383526506,1513,normal
CWEN,0.27620955916056755,1561,volatile
CWH,0.26102027171914105,1560,normal
CWK,0.3135035762916357,1556,volatile
CWT,0.2933754876601761,1561,volatile
CX,0.2765797200130308,1171,volatile
CYCN,0.14177458284319328,1307,calm
CYH,0.2322164153841088,1238,normal
CZNC,0.2801248905400702,1531,volatile
CZWI,0.24641122939198418,1220,normal
D,0.24942537853538316,1561,normal
DAIO,0.2797385206996286,750,volatile
DAL,0.2551032994614819,1561,normal
DAO,0.19253435819659606,1382,calm
DARE,0.15121452466692575,1208,calm
DAX,0.2592506977230975,1538,normal
DBAW,0.2503811653828573,1469,normal
DBEF,0.21540432326866185,1526,calm
DBEU,0.21678500017091645,1534,normal
DBEZ,0.20802055271826544,1506,calm
DBI,0.24464077219463992,1504,normal
DBJP,0.24096965413051893,1556,normal
DBMF,0.26788816619037953,1290,normal
DBX,0.1952251905050036,1559,calm
DCI,0.24612213020729354,1562,normal
DCOM,0.23032351803592477,1557,normal
DCTH,0.20543635916331374,1406,calm
DD,0.14794549535709806,1558,calm
DDLS,0.27670061826408743,1507,volatile
DDM,0.25072442721017946,1561,normal
DDWM,0.2505649130937037,1480,normal
DEA,0.23460451082061426,1556,normal
DEI,0.2600857816814736,1534,normal
DEM,0.28690180679070115,1556,volatile
DEUS,0.23479270055433873,1551,normal
DEW,0.23373291162539486,1552,normal
DFE,0.29437659168161234,1561,volatile
DFEB,0.23546340377177205,1056,normal
DFEN,0.20666831127216045,1560,calm
DGICA,0.2639642531746464,1365,normal
DGRE,0.2592203964681458,1492,normal
DGRO,0.20992022321869283,1554,calm
DGRS,0.25752811876107584,1561,normal
DGRW,0.2272712231283843,1558,normal
DGS,0.2636513483240903,1557,normal
DGT,0.26199070506579875,1561,normal
DHCNI,0.22188525689467958,1328,normal
DHCNL,0.2304747762521551,1320,normal
DHS,0.2633960635270322,1561,normal
DHT,0.2501189685560571,1351,normal
DHX,0.24411119494225283,854,normal
DIAL,0.1584548080534275,404,calm
DIM,0.294212197854513,1561,volatile
DIV,0.24584254249697368,1182,normal
DIVB,0.23812879362108264,1555,normal
DIVO,0.25803490271193164,1496,normal
DJD,0.2791240226565876,1543,volatile
DLB,0.28361072993573594,1562,volatile
DLHC,0.21582163973592136,1397,normal
DLNG,0.23149847284642405,580,normal
DLS,0.2906110962833579,1561,volatile
DLTH,0.20009957570935485,1209,calm
DLX,0.26000764073721794,1561,normal
DMAC,0.23491751574593744,1115,normal
DMAY,0.21229034233840555,934,calm
DMLP,0.25485352083969287,1540,normal
DMRC,0.21568372079049167,1558,calm
