file_idx,chunk,phi,energy,alpha,file
6,42,0.3610044898674331,0.06807839125394821,0.5013515714536018,Frankenstein.txt
6,43,0.3676896146740037,0.06574241071939468,0.5036913651359015,Frankenstein.txt
6,44,0.34176340191637306,0.0633942261338234,0.4946171906707308,Frankenstein.txt
6,45,0.332481144297679,0.06912185996770859,0.49136840050418784,Frankenstein.txt
6,46,0.3397795080809901,0.06340382248163223,0.49392282782834673,Frankenstein.txt
6,47,0.3723946699030842,0.07682204246520996,0.5053381344660797,Frankenstein.txt
6,48,0.40954950925134886,0.07597274333238602,0.5183423282379723,Frankenstein.txt
6,49,0.3740613214222715,0.06288561969995499,0.5059214624977952,Frankenstein.txt
6,50,0.39651663269866505,0.06310292333364487,0.513780821444533,Frankenstein.txt
6,51,0.44375611321388714,0.07913597673177719,0.5303146396248607,Frankenstein.txt
6,52,0.36633914066792383,0.0702221542596817,0.5032186992337735,Frankenstein.txt
6,53,0.3872087472157693,0.07061329483985901,0.5105230615255194,Frankenstein.txt
6,54,0.36705629523486055,0.0638507828116417,0.5034697033322013,Frankenstein.txt
6,55,0.38020443697815953,0.07192989438772202,0.508071552942356,Frankenstein.txt
6,56,0.3161141809649581,0.07876173406839371,0.48563996333773546,Frankenstein.txt
6,57,0.33043149656390997,0.08555250614881516,0.49065102379736864,Frankenstein.txt
6,58,0.314109265020768,0.07857481390237808,0.48493824275726893,Frankenstein.txt
6,59,0.32303555065611517,0.07881657779216766,0.48806244272964044,Frankenstein.txt
7,0,0.330763833428193,0.07640620321035385,0.4907673416998677,Love Poems and Others.txt
7,1,0.32794174535229487,0.07290565967559814,0.48977961087330335,Love Poems and Others.txt
7,2,0.3529012071484514,0.06967423111200333,0.4985154225019581,Love Poems and Others.txt
7,3,0.33415957009474956,0.06314437836408615,0.49195584953316246,Love Poems and Others.txt
7,4,0.40722825863759243,0.0682244747877121,0.5175298905231575,Love Poems and Others.txt
7,5,0.4207941540893104,0.0745953693985939,0.5222779539312588,Love Poems and Others.txt
7,6,0.34934594494002846,0.0677478015422821,0.49727108072901005,Love Poems and Others.txt
7,7,0.4543666954163945,0.08569840341806412,0.5340283433957381,Love Poems and Others.txt
7,8,0.3930290063891208,0.07412640005350113,0.5125601522361923,Love Poems and Others.txt
7,9,0.3865257039025742,0.08000773936510086,0.510283996365901,Love Poems and Others.txt
7,10,0.423186267066076,0.0685221403837204,0.5231151934731266,Love Poems and Others.txt
7,11,0.4728609222118041,0.07620310038328171,0.5405013227741314,Love Poems and Others.txt
7,12,0.3968899560892405,0.07459715753793716,0.5139114846312342,Love Poems and Others.txt
7,13,0.4656215656657297,0.07920654863119125,0.5379675479830054,Love Poems and Others.txt
7,14,0.45685716414656374,0.0767967700958252,0.5349000074512973,Love Poems and Others.txt
7,15,0.44446016895007534,0.06453163176774979,0.5305610591325264,Love Poems and Others.txt
7,16,0.44619082011045297,0.07910865545272827,0.5311667870386585,Love Poems and Others.txt
7,17,0.36859295656518004,0.07621049135923386,0.504007534797813,Love Poems and Others.txt
7,18,0.3972698921270788,0.08427668362855911,0.5140444622444775,Love Poems and Others.txt
7,19,0.44399794482961646,0.0703355222940445,0.5303992806903657,Love Poems and Others.txt
7,20,0.43297620945178733,0.05947396904230118,0.5265416733081255,Love Poems and Others.txt
7,21,0.47358882270446256,0.058693476021289825,0.5407560879465618,Love Poems and Others.txt
7,22,0.4758999221897457,0.07042679935693741,0.5415649727664109,Love Poems and Others.txt
7,23,0.46174090456617,0.07498455047607422,0.5366093165981595,Love Poems and Others.txt
7,24,0.4217708341309454,0.07309877872467041,0.5226197919458309,Love Poems and Others.txt
7,25,0.4126601084564365,0.06854517757892609,0.5194310379597528,Love Poems and Others.txt
