Date,Open,High,Low,Close,Volume
2024-05-19,66920.1,67984,65852.02,66262.4,4912
2024-05-20,66262.5,71560.9,66057.03,71432.17,25837
2024-05-21,71432.16,71980,69146.01,70145.1,19826
2024-05-22,70145.1,70668,68725.2,69109.93,14277
2024-05-23,69144.1,70500,66250,67940.45,19011
2024-05-24,67947,69308,66587.91,68547.8,12804
2024-05-25,68541,69635,68487.44,69289.67,3607
2024-05-26,69278.7,69588,67971.1,68473.72,2949
2024-05-27,68474.4,70679,68210.12,69368.72,7834
2024-05-28,69377.8,69597,67194.59,68321.98,14590
2024-05-29,68325,68971,67081.66,67569.45,11508
2024-05-30,67575.4,69550,67092.91,68338.58,14621
2024-05-31,68365,69028,66584.47,67472.41,12714
2024-06-01,67498.1,67890,67371.28,67719.29,2453
2024-06-02,67717.2,68444,67260,67735.52,3849
2024-06-03,67731.14,70295.78,67568,68791,14723
2024-06-04,68800,71108.9,68542.37,70542.32,21220
2024-06-05,70558.7,71804.13,70356.49,71121.11,13144
2024-06-06,71116.3,71651,70093.98,70773.64,9799
2024-06-07,70752.1,71974.04,68298.55,69394,18017
2024-06-08,69317.1,69618,69126.22,69304.05,3361
2024-06-09,69291.5,69848.94,69101,69649.9,2732
2024-06-10,69649.9,70187.53,69141.51,69497.73,7800
2024-06-11,69522.2,69558.7,66018.69,67316.53,21178
2024-06-12,67330,70037,66883.32,68248.6,20072
2024-06-13,68248.59,68474.49,66200,66756.5,13688
2024-06-14,66776,67370,65005,66004.39,14036
2024-06-15,65992.1,66442,65794.7,66192,2596
2024-06-16,66198.1,66947,65999,66628.75,2936
2024-06-17,66630,67302,65050,66481.81,16345
2024-06-18,66487.7,66623,64010.01,65152.8,19988
2024-06-19,65169.7,65820,64635.48,64943.79,6315
2024-06-20,64949.1,66585,64500,64840.88,11796
2024-06-21,64833.3,65196,63300.93,64087.9,12112
2024-06-22,64088,64613,63910.01,64235.01,3181
2024-06-23,64253,64618,63125.75,63171.43,3176
2024-06-24,63169.36,63461,58414.28,60263,28056
2024-06-25,60297.1,62470,60217.36,61789.71,18289
2024-06-26,61794.1,62558,60656.8,60815.1,13088
2024-06-27,60815.2,62499,60546.94,61615.39,12724
2024-06-28,61617.1,62295,59868,60313.35,13141
2024-06-29,60319.6,61352,60273.8,60860,4492
2024-06-30,60860,63131,60611.01,62668.26,5696
2024-07-01,62680.4,63911,62448.46,62830.13,14426
2024-07-02,62830.94,63331,61000,62040.22,12224
2024-07-03,62020,62386,59332.76,60145.01,14682
2024-07-04,60146.6,60550,56709.73,57042.14,23071
2024-07-05,57031.4,57615,53219,56639.43,35152
2024-07-06,56650.1,58538,56020.32,58244.75,8930
2024-07-07,58234.9,58563,55717.23,55854.09,7225
2024-07-08,55845.4,58350,54278.93,56699.3,23020
2024-07-09,56699.3,58422,56276.37,58047.86,14464
2024-07-10,58001.6,59606,57154.1,57712.59,14095
2024-07-11,57742.1,59654,57036.41,57340.77,14326
2024-07-12,57350,58653,56538.33,57909.03,12770
2024-07-13,57911.5,60063,57770.92,59224.58,5857
2024-07-14,59224.58,61535,59209.2,60808.42,8695
2024-07-15,60810,65014,60666.59,64757.16,24915
2024-07-16,64764.3,65488,62410.33,65088.99,18695
2024-07-17,65077.1,66180,63853.1,64085.81,13094
2024-07-18,64120.1,65200,63222.6,63982.86,9745
2024-07-19,63960.7,67504.22,63289.15,66707.61,18233
2024-07-20,66708.9,67694,66271,67163.83,5976
2024-07-21,67166.1,68479,65820.18,68181.28,8257
2024-07-22,68137.2,68560,66569.42,67558.22,13916
2024-07-23,67595.2,67906,65444.3,65939.24,13878
2024-07-24,65900.8,67241,65090.61,65366.4,9997
2024-07-25,65503,66241,63412.46,65795.42,13300
2024-07-26,65794.2,68333,65705.6,67924.08,12395
2024-07-27,67914.7,69529,66624.3,67899.41,14034
2024-07-28,67912.9,68443,67021.8,68244.3,4645
2024-07-29,68250,70162,66400.01,66771.45,17576
2024-07-30,66755.4,67179,65283.68,66169.68,11131
2024-07-31,66175.1,66947,64500,64609.62,11041
2024-08-01,64638.1,65720,62212.81,65288.18,19436
2024-08-02,65462,65668,61150,61418.06,19180
2024-08-03,61410,62260,59819.13,60674.93,11400
2024-08-04,60688.6,61213,57123,58130.95,12979
2024-08-05,58103.1,58344,49050.01,54029.12,76954
2024-08-06,54037.9,57207,53965.57,56048.08,21200
2024-08-07,56048.07,57833,54556.5,55148.1,17584
2024-08-08,55144.14,62770,54737.32,61705.58,25703
2024-08-09,61704.05,61809,59552.46,60862.13,15441
2024-08-10,60859.9,61535,60255.61,60935.02,4072
2024-08-11,60951.8,61916,58312.63,58722.49,7229
2024-08-12,58816,60764,57653.31,59358.78,14679
2024-08-13,59359.5,61635,58402.01,60603.19,14090
2024-08-14,60600.1,61898,58453.56,58690.62,16068
2024-08-15,58693.7,59909,56117.7,57543.61,17870
2024-08-16,57543.57,59905,57096.56,58888.99,13998
2024-08-17,58895.6,59800,58803.45,59497.49,3375
2024-08-18,59473.4,60313,58422,58466.5,5635
2024-08-19,58466.5,59700,57820,59452.67,10140
2024-08-20,59493.7,61472,58571.96,59017.59,14259
2024-08-21,59017.59,61898,58793.89,61163.28,16511
2024-08-22,61179.8,61467,59750,60383.29,11537
2024-08-23,60391.1,65074,60343.2,64087.4,21733
2024-08-24,64087.5,64609,63564.22,64179.63,6231
2024-08-25,64176.1,65200,63793.74,64251.93,4954
2024-08-26,64288.1,64579,62806.8,62966,12256
2024-08-27,62851.1,63307,58009.6,59439.64,17668
2024-08-28,59458,60330,57851.62,59045.88,12730
2024-08-29,59025.6,61290,58717.4,59385.5,13390
2024-08-30,59385.5,60102,57700,59112.77,12801
2024-08-31,59110,59622,58736.9,58968.37,2737
2024-09-01,58968.37,59236,57200,57299,7421
2024-09-02,57318.5,59588,57119.01,59139.83,6932
2024-09-03,59305,59976,57394.49,57468.84,10681
2024-09-04,57482.4,58632,55555,57971,18103
2024-09-05,57970.1,58451,55601.5,56156.82,16459
2024-09-06,56163.9,57123,52530,53950.01,24644
2024-09-07,53948.3,55084,53733.1,54156.33,5599
2024-09-08,54146.5,55448,53623.95,54881.11,5724
2024-09-09,54856.9,58180,54565.56,57053.9,13946
2024-09-10,57062.7,58136,56377.76,57645.59,7933
2024-09-11,57630,58104,55534.41,57352.79,14972
2024-09-12,57350.7,58652,57339,58287,2188
2024-09-13,58133.4,60730,57658.3,60581,4137
2024-09-14,60581.1,60713,59478.3,60000.1,1340
2024-09-15,60000.2,60525,58679.1,59135.1,1742
2024-09-16,59135.1,59336,57488.7,58342,2013
2024-09-17,58209.76,61373.41,57619.9,60317.2,15177
2024-09-18,60317.1,61875,59164.6,61853,14828
2024-09-19,61853,63950,61569.16,62960.14,18538
2024-09-20,62922.2,64200,62340,63210.69,13348
2024-09-21,63210.3,63614,62755,63362.74,3930
2024-09-22,63376.1,64093,62380.55,63577.66,5689
2024-09-23,63615.2,64842,62566.28,63338.87,10142
2024-09-24,63338.85,64775,62689.15,64272.93,11178
2024-09-25,64272.93,64888,62917.4,63130.89,7774
2024-09-26,63139.2,65888,62652.99,65177.21,16007
2024-09-27,65179.3,66587,64827.85,65789,11747
2024-09-28,65788.8,66410,65400,65858.99,3289
2024-09-29,65862.7,66193,65433.29,65600.01,3350
2024-09-30,65600.01,65759,62833.95,63301.25,13459
2024-10-01,63305.52,64217,60150.89,60790,19449
2024-10-02,60819.1,62480,59969.2,60631.37,11132
2024-10-03,60643.9,61600,59824.87,60744.99,9986
2024-10-04,60739.7,62575,60451.6,62090.71,9925
2024-10-05,62081,62437,61686.34,62051.29,2565
2024-10-06,62051.58,63033,61805.85,62810.86,2866
2024-10-07,62809.4,64514,62113.28,62202.02,13062
2024-10-08,62203.82,63248,61824.48,62122.02,8436
2024-10-09,62120.6,62587,60255,60578.28,9442
2024-10-10,60558,61364,58863.9,60279.53,12779
2024-10-11,60275.9,63455,60029.98,62518.75,13819
2024-10-12,62502.5,63590,62464.15,63187.46,4907
2024-10-13,63184.9,63406,62029.9,62845.3,3655
2024-10-14,62834.9,66555,62426.67,66065.65,16820
2024-10-15,66065.64,67944.76,64686.1,67056.6,21695
2024-10-16,67056,68399,66743,67608.44,15605
2024-10-17,67654,67962,66629.97,67402.33,9872
2024-10-18,67399.86,69000.62,67149.24,68426.11,14198
2024-10-19,68440.2,68689.29,68005.83,68363.73,2451
2024-10-20,68375,69402,68083.18,69014.86,3637
2024-10-21,69010.5,69586,66802,67346.15,13050
2024-10-22,67385.1,67824,66535,67387.6,10325
2024-10-23,67384.2,67436,65149.51,66601.11,11070
2024-10-24,66630.5,68846,66445.32,68156.84,12174
2024-10-25,68170.1,68750,65500.01,66564.51,16936
2024-10-26,66564.51,67446,66331.95,67012.56,3632
2024-10-27,67026.1,68328,66836.78,67943.19,3708
2024-10-28,67943.18,70287,67532.48,69924.5,19515
2024-10-29,69912,73624.98,69705.76,72724.35,26341
2024-10-30,72661,73060,71400,72322.91,15702
2024-10-31,72331.1,72684.02,69559.33,70197.83,16980
2024-11-01,70250.1,71653,68720,69467.29,18602
2024-11-02,69490.1,69939,69000,69358.94,3362
2024-11-03,69300.9,69409,67444,68738.18,9845
2024-11-04,68806,69505,66783.77,67807.48,14583
2024-11-05,67787.8,70599,67427.53,69380.73,15645
2024-11-06,69382.7,76509.56,69285.82,75646.55,59140
2024-11-07,75642.1,76999,74397,75920,26510
2024-11-08,75925,77312.18,75608,76566.73,21483
2024-11-09,76550.5,76952.67,75746,76728.3,6165
2024-11-10,76728.3,81534.28,76531,80428.92,25779
2024-11-11,80423.3,89666,80244,88770.73,46215
2024-11-12,88737.5,89933,85128,87932,9704
2024-11-13,88087.3,93495,86137,90493.82,52609
2024-11-14,90499.4,91831.25,86621.9,87340.4,31126
2024-11-15,87314.4,91934.62,87100.83,91058.36,25460
2024-11-16,91062,91820.73,90069.21,90555.1,8809
2024-11-17,90076,90226,88709,89866.85,2992
2024-11-18,90635.12,92095.34,90294.86,90532,6750
2024-11-19,93343.26,93697.59,91348,92341.07,5533
2024-11-20,94140.11,94744.99,93788.2,94359.04,4841
2024-11-21,94356.8,99073.53,93986,98439.09,38976
2024-11-22,98496,99860,97010,99024.03,35602
2024-11-23,99024.03,99044.11,97136,97778.77,15863
2024-11-24,98109.9,98445.1,95635,97887.4,1683906
2024-11-25,97994.1,98999,92534.93,93000.01,26633
2024-11-26,93000.1,95090,90682.58,91929.54,22822
2024-11-27,91914.6,97387.9,91747.46,95951.19,19721
2024-11-28,95946.8,96676.31,94653.6,95665.53,7054
2024-11-29,95637.8,98750,95383.46,97490.56,16057
2024-11-30,97478.7,97580,96129.73,96465.42,4550
2024-12-01,96456.3,97988,95753.42,97263.18,5405
2024-12-02,97259.17,98240,94400.63,95862.89,16693
2024-12-03,95853.3,96402,93565.1,95917.5,3247
2024-12-04,95924.85,99263.2,94634.85,98746.24,18418
2024-12-05,98710,104000,88800,96856,5284
2024-12-06,97087.3,101995,96210,99872.9,4172
2024-12-07,99873,100530,98788,99899.9,1166
2024-12-08,99900,101480,98699.7,101174.99,5703
2024-12-09,101240,101300,94222,97410,1580
2024-12-10,97330.66,98368,94273.38,96660.76,23846
2024-12-11,96655.1,101984.98,95722.79,101202.11,24703
2024-12-12,101177.1,102595,99280,100030.47,17513
2024-12-13,100024.75,101959.13,99220.81,101428.75,15236
2024-12-14,101483.1,102650,100550,101399.99,5772
2024-12-15,101400.1,105100,101210,104447.76,10772
2024-12-16,104360,107857.79,103220,106099.81,28806
2024-12-17,106070.2,108388.88,105110,106136.99,17891
2024-12-18,106152,106528.13,99939.82,100150.73,26495
2024-12-19,100166.1,102800,95539.67,97372.21,28638
2024-12-20,97352.32,98208.8,92115.66,97758.4,34178
2024-12-21,97781.8,99596.57,96359.8,97230.08,8185
2024-12-22,97232.7,97435,94182.98,95087.75,6675
2024-12-23,95101.9,96548,92360.91,94764.56,16870
2024-12-24,94699.4,99554,93426.25,98594.47,15474
2024-12-25,98594.47,99566,97557.48,99346.28,6414
2024-12-26,99463,99900,95083.93,95669.49,13433
2024-12-27,95660.9,97554,93234.31,94171.89,15476
2024-12-28,94147.6,95916,94002.72,95130.82,3462
2024-12-29,95204.1,95559,92841.48,93563.35,4701
2024-12-30,93551,95135,91256.6,92620.71,19241
2024-12-31,92346.7,96400,91887.13,93383.32,15102
2025-01-01,93758,95287,93072,94757,546
2025-01-02,94757,97887,94521,97035,576
2025-01-03,96805.3,99028,96016.63,98136.51,10997
2025-01-04,98111.1,98781,97516.65,98209.85,3517
2025-01-05,98208.9,98889,97250,98345.33,3035
2025-01-06,98306.3,102560,97900,102279.41,18260
2025-01-07,102300,102760,96100,96941.98,20002
2025-01-08,96932.2,97346,92500,95202,18447
2025-01-09,95060.1,95479,91168.5,92547.44,13551
2025-01-10,92547.44,95930,92200,94701.18,15485
2025-01-11,94698.9,95115,93804.05,94565.02,3101
2025-01-12,94562.1,95534,93652.2,94580,2690
2025-01-13,94450,96069,89005.8,94506.45,18207
2025-01-14,94487.1,97451,94311.36,96534.96,13099
2025-01-15,96534.97,100731.7,96400,100510.23,16495
2025-01-16,100490,100880,97277.58,99981.78,14729
2025-01-17,99976.7,105970,99937.81,104107,25269
2025-01-18,104040,104960,102200,104435,10139
2025-01-19,104382,106370,99518,101211.13,18536
2025-01-20,101217.78,109590,99416.27,102145.43,41376
2025-01-21,102142.1,107360,100051,106159.26,23287
2025-01-22,106162.8,106431.34,103100,103667.11,12633
2025-01-23,103202.35,107000,101200.01,103973.87,36524
2025-01-24,103920.2,107200,102700,104850.27,15234
2025-01-25,104840.4,105294,104100,104733.56,4180
2025-01-26,104705.3,105478.8,102452.24,102563,5848
2025-01-27,102565.28,103300,97688.7,102062.42,28684
2025-01-28,102133.3,103850,100200,101299.8,11696
2025-01-29,101774.62,104829.64,101356.1,103737.04,15331
2025-01-30,103708.1,106520,103252.5,104742.64,15357
2025-01-31,104742.63,106090,101500,102411.26,15465
2025-02-01,102406,102790,100147,100623.85,4839
2025-02-02,100690,101460,96100,97676.52,15319
2025-02-03,97696,102599.85,91000,101416.34,49133
2025-02-04,101460.15,101812.23,96127,97795.05,18233
2025-02-05,97795.06,99230.49,96161.01,96638.33,10627
2025-02-06,96613.4,99222,95664.6,96585.99,15176
2025-02-07,96558.5,100235.79,95614.96,96537.08,14747
2025-02-08,96536.93,96919.05,95656.9,96496.5,3640
2025-02-09,96496.5,97366,94726,96493.39,7010
2025-02-10,96473,98468,95194.7,97472,9733
2025-02-11,97441.2,98645,94831.07,95774.08,10167
2025-02-12,95767.1,98200,94066.92,97862.53,12141
2025-02-13,97874,98166,95220,96625.29,8808
2025-02-14,96628,98890.11,96268.56,97509.03,9892
2025-02-15,97464,97997.85,97225.01,97596.94,2047
2025-02-16,97588.2,97738.22,96057.68,96257,2715
2025-02-17,96144.1,97163,95200,95781.8,5190
2025-02-18,95772.8,96923,93333,95607.4,12084
2025-02-19,95600,97056,94996.8,96632.03,8795
2025-02-20,96632.03,98862,96405.7,98347.2,12058
2025-02-21,98347.2,99574,94721.92,96157.03,22158
2025-02-22,96099.5,97143,95767.95,96582.12,7982
2025-02-23,96600.1,96767,95243.91,96303.4,4328
2025-02-24,96303.4,96659,91300,91510.82,16322
2025-02-25,91509.88,92833,85836.18,88583.74,41774
2025-02-26,88583.17,89623,80525,84111.78,31312
2025-02-27,84089.9,87320,82554.11,85007,21525
2025-02-28,84668.4,85330,78167.81,84297.73,39315
2025-03-01,84309.2,86819,83772.54,86018.76,9483
2025-03-02,86020.8,95321,84500.1,94265.48,24083
2025-03-03,94265.47,94633,85007.01,86161.1,29529
2025-03-04,86144.7,89168,81434.5,87250,30109
2025-03-05,87250,91262,86329.22,90603.73,19533
2025-03-06,90610.4,92997,87790.5,89921.85,16844
2025-03-07,89925.3,91454,84608.27,86756.98,33084
2025-03-08,86762.3,87140,85200,86206.69,4705
2025-03-09,86164.1,86823,80000,80952,11163
2025-03-10,80708.21,84245,77389,78558.8,27148
2025-03-11,78558.9,83820,76555,82914.51,22831
2025-03-12,82900,84630,80572.21,83659.43,16241
2025-03-13,83659.45,84494,79890,81073.43,12923
2025-03-14,81112.3,85487,80771.17,84207,14087
2025-03-15,83997.7,84911,83612.24,84351.46,3214
2025-03-16,84351.45,85280,81969.44,82562.57,5211
2025-03-17,82600,84920,82416.98,84011.4,9639
2025-03-18,84015.2,84221,81125,82698.76,10062
2025-03-19,82705.4,87189,82535.53,86877.96,16382
2025-03-20,87030,87622,83596.75,84183.42,12424
2025-03-21,84183.41,84945,83100,84061.96,7581
2025-03-22,84034.3,84594,83659.69,83800,2634
2025-03-23,83800,86288,83799.9,86092.94,4229
2025-03-24,86076.5,88868,85533.06,87523.62,15617
2025-03-25,87511.9,88651,86306.7,87427.88,11981
2025-03-26,87432.82,88460,85850,86899,9432
2025-03-27,86899,87934,85784,87217.48,8122
2025-03-28,87209.9,87578,83530.1,84373.9,13027
2025-03-29,84373.9,84779,81608.99,82613.8,4888
2025-03-30,82866,83697,81538.88,82379.98,4152
2025-03-31,82325.4,83998,81265.16,82534.32,9345
2025-04-01,82523,85566.53,82403.32,85170.37,11357
2025-04-02,85166.92,89042.7,82141.5,82490.08,20950
2025-04-03,82517,83953.45,81177.7,83174.33,14397
2025-04-04,83133,84720.67,81634,83860.16,17315
2025-04-05,83859.78,84238.35,82346.61,83498.25,3990
2025-04-06,83508.9,83807,77057.7,78370.75,16022
2025-04-07,78364.8,81262,74409.1,79140.01,34012
2025-04-08,79130.1,80901,76164.6,76251.64,18116
2025-04-09,76276.5,83583.35,74553.01,82594.75,30651
2025-04-10,82593.15,82730.93,78387.24,79552.34,14945
2025-04-11,79552.34,84299,78888,83380.47,13416
2025-04-12,83372,85909.97,82750,85271.01,6082
2025-04-13,85284.1,86092.99,83000,83733.07,5917
2025-04-14,83719.8,85818.06,83655.27,84590.36,9838
2025-04-15,84530.7,86491.4,83592.77,83629.78,8107
2025-04-16,83633.5,85526.4,83088.02,84028.72,10405
2025-04-17,84027.5,85494.94,83650,84961.97,7447
2025-04-18,84961.97,85150.94,84200,84472.5,2867
2025-04-19,84472.5,85625,84311,85074.99,2420
2025-04-20,85121.3,85319.21,83817,85177.34,2606
2025-04-21,85177.33,88630,84940,87522.07,15412
2025-04-22,87473,93952.62,87038,93472,23462
2025-04-23,93486.57,94686,91902.19,93740.92,15839
2025-04-24,93677,94061.02,91685.18,94021.96,10740
2025-04-25,94000,95976.34,92880.01,94717.1,17108
2025-04-26,94717.2,95273.52,93903.01,94666.64,3060
2025-04-27,94663.5,95369,93621.5,93817,3233
2025-04-28,93780.56,95652.66,92829.44,95042.57,9943
2025-04-29,95042.56,95531,93761.26,94271.09,8049
2025-04-30,94269.7,95285,92911.88,94182.54,8734
2025-05-01,94182.55,97546.99,94136.79,96524.98,10496
2025-05-02,96524.98,97948.56,96369.69,96929.81,7256
2025-05-03,96920.7,96974.78,95765.13,95861.33,3766
2025-05-04,95869.9,96439,94151.67,94272.55,6520
2025-05-05,94303.1,95407,93500.01,94733.99,8648
2025-05-06,94733.99,96999,93363.28,96839.17,8001
2025-05-07,96843.84,97840,95800,97058.32,10147
2025-05-08,97031.4,104190,96874.9,103228,19616
2025-05-09,103228,104352.6,102330,102976.9,9427
2025-05-10,102977,104997,102800,104821.19,4484
2025-05-11,104817.83,104980.89,103310,104137.62,4506
2025-05-12,104119,105787.37,100703.71,102825,13628
2025-05-13,102825.1,105038.53,101447.78,104156.7,10200
2025-05-14,104156.8,104373,102510,103545.38,8846
2025-05-15,103540.91,104200,101400.01,103786.43,8892
2025-05-16,103786.4,104616.71,103100,103500.03,8000
2025-05-17,103500.1,103741.98,102612,103161.07,2432
2025-05-18,103169.1,106692.97,103130.95,106473.46,6572
2025-05-19,106525.6,107137.68,102010,105616.18,12786
2025-05-20,105637.7,107355,104120,106883.24,11210
2025-05-21,106883.24,110788.98,106020,109699.54,22528
2025-05-22,109697.19,112000,109217.23,111722.53,14162
2025-05-23,111722.54,111824.07,106710,107329.61,13113
2025-05-24,107332.08,109517.79,106750,107794.01,3988
2025-05-25,107824.2,109371.04,106400,109048.68,4045
2025-05-26,109040.4,110474.41,108550,109464.32,6432
2025-05-27,109468.6,110829.42,107510,109004.9,10567
2025-05-28,109004.9,109344.89,106750,107811.7,8164
2025-05-29,107811.7,108943.35,105300,105590,11474
2025-05-30,105632.5,106377.66,103460,104033.26,9702
2025-05-31,104033,104965.5,103110,104645.87,3105
2025-06-01,104662,105937.46,103790,105697.94,3084
2025-06-02,105712.4,106000,103670,105904.94,7103
2025-06-03,105920.4,106901.68,104880,105447.82,7583
2025-06-04,105446,106058.47,104202,104753.38,5334
2025-06-05,104745.4,105999.68,100345.73,101570.2,14274
2025-06-06,101579.7,105439.01,101132.91,104397.99,11108
2025-06-07,104376,106000,103969.7,105619.02,4739
2025-06-08,105619.02,106550,105028.3,105784.4,2672
2025-06-09,105754.2,110680,105368.27,110301.15,8185
2025-06-10,110280,110420.08,108310,110300.24,6908
2025-06-11,110273.6,110435.05,108010,108669.37,5792
2025-06-12,108701.9,108853.74,105700,105700,7492
2025-06-13,105760.1,106250,102660,106118.7,10185
2025-06-14,106122.3,106264.36,104351.72,105465.42,2989
2025-06-15,105465.42,106260,104505.05,105581.4,2407
2025-06-16,105581.5,109030,104982.26,106853.38,7450
2025-06-17,106800.1,107792.9,103363.3,104622.4,9802
2025-06-18,104622.5,105660,103512.38,104915.6,6779
2025-06-19,104891.9,105340,103916.37,104671.9,3858
2025-06-20,104675.2,106580,102357.25,103317.8,6826
2025-06-21,103300,104120,100919.19,102160.03,4955
2025-06-22,102153,103470,98225.01,100996.87,12348
2025-06-23,100987.9,106210,99677.07,105382,12561
2025-06-24,105418.4,106366.29,104681.83,106141,7512
2025-06-25,106100,108206,105875,107400.22,8948
2025-06-26,107360,108345,106520,107029.64,5888
2025-06-27,107029.63,107804.2,106370,107113.38,7104
2025-06-28,107119.17,107599.81,106868.94,107352.2,1768
2025-06-29,107325.1,108590,107220,108387.2,2734
2025-06-30,108387.3,108800,106724.76,107173.21,6720
2025-07-01,107120.3,107620,105262,105920,8033
2025-07-02,105700.1,109900,105116.4,108888.32,9856
2025-07-03,108846.9,110700,108574.31,109631,7810
2025-07-04,109631,109910,107268.84,108028.6,4084
2025-07-05,108018.9,108540,107783.1,108246.65,1717
2025-07-06,108249.5,109860,107825.2,109217.98,2234
