symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
MU,2026-01-22T05:00:00+00:00,0.23529411764705882,0.27335043317650326,-1,0,1,0.4070785399768073,3,2,0,0.07694048996428404
MU,2026-02-12T05:00:00+00:00,0.22222222222222227,0.2696223756353093,1,0,1,0.35340170393108883,3,2,0,0.03430200256057203
CMCSA,2025-11-21T05:00:00+00:00,0.6666666666666667,0.5905936906211187,-1,0,0,0.5194075140911236,3,0,0,0.14588665447897609
CMCSA,2026-01-22T05:00:00+00:00,0.6666666666666667,0.590695273229675,-1,0,0,0.5456495876036778,3,0,0,0.07218611016079368
CMCSA,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5887809143889163,-1,0,0,0.571153598566913,3,0,0,-0.015084852294154683
AMD,2025-11-21T05:00:00+00:00,0.25,0.2866466201147323,1,0,0,0.3610134180147298,3,1,0,-0.017813328098930215
AMD,2026-01-22T05:00:00+00:00,0.2692307692307693,0.2860851500182694,-1,0,0,0.3577485265349303,3,1,0,-0.21116935324951713
AMD,2026-02-12T05:00:00+00:00,0.24074074074074076,0.28414192671546684,1,0,1,0.3650182103034455,3,2,-1,-0.028114984947071875
MSFT,2025-11-21T05:00:00+00:00,0.75,0.6702186738168778,-1,0,0,0.6666666666666666,3,1,0,-0.15862492586630517
MSFT,2026-01-22T05:00:00+00:00,0.75,0.6696747083312111,-1,0,0,0.6666666666666666,3,1,0,-0.1194972735736134
MSFT,2026-02-12T05:00:00+00:00,0.5,0.5128990603394055,0,0,0,0.6666666666666666,3,0,0,-0.011472227752339137
ORCL,2025-11-21T05:00:00+00:00,0.41666666666666663,0.28711520842645566,0,0,0,0.7501575607038907,3,1,0,-0.25498088146508346
ORCL,2026-01-22T05:00:00+00:00,0.41666666666666663,0.28541632791194876,0,0,0,0.7537519922096051,3,1,0,-0.1689302952070939
ORCL,2026-02-12T05:00:00+00:00,0.4230769230769231,0.28266243846261296,0,0,0,0.35820371673449525,3,0,0,-0.05368098159509194
GOOGL,2025-11-21T05:00:00+00:00,0.5,0.607960131924694,0,0,0,0.6666666666666666,3,0,0,0.05112460788894069
GOOGL,2026-01-22T05:00:00+00:00,0.6666666666666667,0.6039074420677427,-1,0,0,0.6666666666666666,3,0,0,-0.04707448417740667
GOOGL,2026-02-12T05:00:00+00:00,0.6666666666666667,0.6011229312094234,-1,0,0,0.6666666666666666,3,0,0,0.019352750809061625
HBAN,2025-11-21T05:00:00+00:00,0.5,0.5395432460219436,-1,0,0,0.6666666666666666,3,0,0,0.13413098236775833
HBAN,2026-01-22T05:00:00+00:00,0.5,0.5372106660528996,-1,0,0,0.6666666666666666,3,0,0,0.02097505668934252
HBAN,2026-02-12T05:00:00+00:00,0.5,0.5350460061799881,-1,0,0,0.7666666666666666,3,0,0,0.039238315060588835
WBD,2025-11-21T05:00:00+00:00,0.3333333333333333,0.2961079646174089,0,0,0,0.35421106961927606,3,0,0,0.24082865774708662
WBD,2026-01-22T05:00:00+00:00,0.3333333333333333,0.2978135850654926,0,0,0,0.35660697880894665,3,0,0,0.013751763046544463
WBD,2026-02-12T05:00:00+00:00,0.3333333333333333,0.2992240248058616,0,0,0,0.3579761865836035,3,0,0,0.022767698327997188
AVGO,2025-11-21T05:00:00+00:00,0.5,0.2985353722961191,-1,0,1,0.6071725170112761,3,2,0,-0.02219282774838338
AVGO,2026-01-22T05:00:00+00:00,0.5833333333333333,0.29836749162359955,-1,0,1,0.603135879100002,3,2,0,0.02199760361301406
