symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
BOHpA,2026-02-12T05:00:00+00:00,0.5,0.3404136197590274,1,0,0,0.3945850046329853,3,1,0,0.005988023952095967
BRBR,2025-11-21T05:00:00+00:00,0.5416666666666667,0.29663670539628784,1,0,0,0.3799242656037808,3,0,0,-0.3604299630500504
BRBR,2026-01-22T05:00:00+00:00,0.5416666666666667,0.2970062865012682,1,0,0,0.34590788604686595,3,0,0,-0.31756272401433694
BRBR,2026-02-12T05:00:00+00:00,0.5384615384615384,0.28930242870667194,1,0,0,0.3716094773397606,3,0,0,0.08059023836549373
BRO,2025-11-21T05:00:00+00:00,0.6666666666666667,0.590175771968658,1,0,0,0.6666666666666666,3,0,0,-0.13359063745019906
BRO,2026-01-22T05:00:00+00:00,0.6666666666666667,0.5939060034471483,1,0,0,0.6666666666666666,3,0,0,-0.11485627066904092
BRO,2026-02-12T05:00:00+00:00,0.6666666666666667,0.585455269105044,1,0,0,0.6666666666666666,3,0,0,0.0008629368617862898
BSM,2025-11-21T05:00:00+00:00,0.6666666666666667,0.5541483563535051,1,0,0,0.41457465068567917,3,0,0,0.08028673835125466
BSM,2026-01-22T05:00:00+00:00,0.6666666666666667,0.5576707282868947,1,0,0,0.39690501575982307,3,0,0,0.02586793737236226
BSM,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5559421084664485,1,0,0,0.4079252134873558,3,0,0,-0.002647253474520106
BTG,2025-11-21T05:00:00+00:00,0.3,0.4942215892976213,1,0,1,0.6666666666666666,3,2,0,0.41469816272965865
BTG,2026-01-22T05:00:00+00:00,0.3,0.5145749858081435,1,0,1,0.6666666666666666,3,2,0,0.03653846153846141
CARS,2025-11-21T05:00:00+00:00,0.3333333333333333,0.33643456713579456,1,0,0,0.3372210837130191,3,0,0,-0.0008710801393727596
CARS,2026-01-22T05:00:00+00:00,0.3333333333333333,0.3418131455924343,1,0,0,0.3368778758569524,3,0,0,-0.06747967479674799
CARS,2026-02-12T05:00:00+00:00,0.3333333333333333,0.3438548339895957,1,0,0,0.33751033950177667,3,0,0,0.046532846715328535
CBRL,2025-11-21T05:00:00+00:00,0.41666666666666663,0.3587321645147077,0,0,0,0.4121787382395905,3,0,0,0.24584717607973428
CBRL,2026-01-22T05:00:00+00:00,0.4230769230769231,0.3579428128241063,1,0,0,0.370947575724025,3,0,0,0.09152652005174633
CBRL,2026-02-12T05:00:00+00:00,0.4230769230769231,0.3575577482654867,1,0,0,0.34680451999888423,3,0,0,0.0904684975767367
CBT,2025-11-21T05:00:00+00:00,0.375,0.3375250202306394,0,0,0,0.336792324522206,3,0,0,0.22540917193323606
CBT,2026-01-22T05:00:00+00:00,0.5,0.34400130187453326,0,0,0,0.33650805139415074,3,0,0,0.03645833333333348
CBT,2026-02-12T05:00:00+00:00,0.38888888888888895,0.33683469032132335,1,0,0,0.35746395485040994,3,0,0,-0.013566397078006665
CCI,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,-0.02221975336073767
CCI,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.021116138763197734
CCI,2026-02-12T05:00:00+00:00,0.75,0.6226933024302297,1,0,0,0.6666666666666666,3,1,0,0.002277644915157806
CCOI,2025-11-21T05:00:00+00:00,0.46875,0.3621238561110016,-1,0,0,0.6153810043389983,3,0,0,0.09002932551319653
CCOI,2026-01-22T05:00:00+00:00,0.4411764705882353,0.3516292862135504,0,0,0,0.4555300728126987,3,0,0,-0.24787535410764872
CCOI,2026-02-12T05:00:00+00:00,0.4444444444444445,0.343794387369291,1,0,0,0.3481144692475867,3,0,0,-0.29334600760456275
CCXI,2022-08-08T04:00:00+00:00,0.3108108108108108,0.3308901399847809,-1,0,0,0.4546977981019031,3,0,-1,-0.7997641972882689
CCXI,2022-10-04T04:00:00+00:00,0.3108108108108108,0.33627198384988555,-1,0,0,0.49745233925314397,3,0,-1,-0.8035473298631193
CCXI,2026-02-12T05:00:00+00:00,0.3333333333333333,0.3205963227899406,1,0,0,0.1791147055419149,2,0,-1,-0.004882812500000111
CGAU,2025-11-21T05:00:00+00:00,0.47222222222222227,0.32121222971288055,-1,0,1,0.3403209024561791,3,2,0,0.642241379310345
CGAU,2026-01-22T05:00:00+00:00,0.4473684210526316,0.3147131796796028,1,0,1,0.3781938209462053,3,2,0,0.05248618784530379
CGAU,2026-02-12T05:00:00+00:00,0.5,0.3048879855807708,1,0,0,0.36150988351086244,3,1,0,0.06902356902356899
CHMG,2025-11-21T05:00:00+00:00,0.75,0.6599830051777655,1,0,0,0.6666666666666666,3,1,0,0.10867924528301875
CHMG,2026-01-22T05:00:00+00:00,0.75,0.6601762926394894,1,0,0,0.6666666666666666,3,1,0,0.005303678357570396
CHMG,2026-02-12T05:00:00+00:00,0.75,0.658692169467544,1,0,0,0.6666666666666666,3,1,0,-0.03164139749505601
CKX,2025-11-06T05:00:00+00:00,0.40909090909090906,0.3307913605318978,-1,0,1,0.4393106111535554,3,2,0,0.13114274662968528
CKX,2026-01-21T05:00:00+00:00,0.375,0.32031464476626154,0,0,0,0.344248226423105,3,0,0,0.1556626506024097
CKX,2026-02-12T05:00:00+00:00,0.3846153846153846,0.3115032443157908,1,0,0,0.3527496891580623,3,0,0,0.12665733266930412
CLBK,2025-11-21T05:00:00+00:00,0.375,0.4433053395644936,1,0,0,0.35356503343126355,3,0,0,0.19044544867656565
CLBK,2026-01-22T05:00:00+00:00,0.375,0.4512367603444699,1,0,0,0.3477874109246238,3,0,0,0.11961141469338199
CLBK,2026-02-12T05:00:00+00:00,0.375,0.4548721766934458,1,0,0,0.3487939428581922,3,0,0,0.013743815283122629
CMPR,2025-11-21T05:00:00+00:00,0.41666666666666663,0.31742794501671334,-1,0,1,0.3450654286262386,3,2,-1,0.06784922394678472
CMPR,2026-01-22T05:00:00+00:00,0.4333333333333333,0.31841517946213477,-1,0,1,0.3391147841086935,3,2,-1,-0.10438879246218702
CMPR,2026-02-12T05:00:00+00:00,0.45,0.3197563698780735,1,0,0,0.3424758389262676,3,0,-1,-0.036800000000000055
CNMD,2025-11-21T05:00:00+00:00,0.45,0.4081812527906258,0,0,0,0.7666666666666666,3,0,0,0.05516596540439456
CNMD,2026-01-22T05:00:00+00:00,0.4583333333333333,0.382977102612271,1,0,0,0.3426145911925283,3,0,0,0.07068311195445931
CNMD,2026-02-12T05:00:00+00:00,0.4583333333333333,0.38243802026889767,1,0,0,0.34267630921953396,3,0,0,0.08327333813294935
CNNE,2025-11-21T05:00:00+00:00,0.5,0.5012779350531017,1,0,0,0.6666666666666666,3,0,0,-0.16137229987293522
CNNE,2026-01-22T05:00:00+00:00,0.5,0.5531119032850087,1,0,0,0.4831535436097477,3,0,0,-0.16771752837326614
CNNE,2026-02-12T05:00:00+00:00,0.5,0.5512447508242608,1,0,0,0.54340835777465,3,0,0,-0.010494752623688153
CNR,2025-11-21T05:00:00+00:00,0.3108108108108108,0.31419629070658445,-1,0,1,0.33611767755505617,3,2,0,0.131497683993824
CNR,2026-01-22T05:00:00+00:00,0.3108108108108108,0.3202237936749211,-1,0,1,0.33428232685447157,3,2,0,-0.12714640198511173
CNR,2026-02-12T05:00:00+00:00,0.3243243243243243,0.32252587161791424,1,0,0,0.3345154284202394,3,0,0,-0.02343142698500833
CNTY,2025-11-21T05:00:00+00:00,0.41346153846153844,0.29718275136229627,0,0,0,0.41069502357778365,3,0,-1,0.0596026490066226
CNTY,2026-01-22T05:00:00+00:00,0.40740740740740744,0.2934918148953278,-1,0,1,0.36123035932764297,3,2,-1,-0.006211180124223614
CNTY,2026-02-12T05:00:00+00:00,0.4166666666666667,0.2943680533669941,1,0,0,0.3584050915556928,3,0,-1,0.06666666666666665
CODI,2025-11-21T05:00:00+00:00,0.33333333333333337,0.2830395498652128,1,0,0,0.3526785609808929,3,1,0,0.2533112582781458
CODI,2026-01-22T05:00:00+00:00,0.33333333333333337,0.27783132893556206,1,0,1,0.35208987972136147,3,2,0,0.31423611111111116
CODI,2026-02-12T05:00:00+00:00,0.3392857142857143,0.2750585774964792,1,0,0,0.33887640278618364,3,0,0,0.21900161030595822
COLM,2025-11-21T05:00:00+00:00,0.8,0.3431442420767157,0,0,0,0.33735969788309594,3,0,0,0.2039362699156515
COLM,2026-01-22T05:00:00+00:00,0.8,0.34314143080208004,0,0,0,0.3374341530484647,3,0,0,0.2241280731846771
COLM,2026-02-12T05:00:00+00:00,0.75,0.31778102957765003,1,0,0,0.37815000431520024,3,0,0,0.03797672915319983
COR,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,-0.012579304309779049
COR,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.024427610860498605
COR,2026-02-12T05:00:00+00:00,0.75,0.5980745199917082,1,0,0,0.6666666666666666,3,1,0,0.02854212955050417
CPA,2025-11-21T05:00:00+00:00,0.28571428571428575,0.3853187740431661,-1,0,0,0.7666666666666666,3,0,0,0.22952660677263315
CPA,2026-01-22T05:00:00+00:00,0.35714285714285715,0.47242022249687426,1,0,0,0.37174605226356,3,0,0,0.0659826243259436
CPA,2026-02-12T05:00:00+00:00,0.35714285714285715,0.46964323190854673,1,0,0,0.39540129939911045,3,0,0,-0.05409716222502814
CPSS,2025-11-21T05:00:00+00:00,0.33720930232558144,0.26309473647152043,1,0,0,0.3659162732817953,3,0,-1,-0.005382775119617267
CPSS,2026-01-22T05:00:00+00:00,0.33720930232558144,0.2650918351071187,1,0,0,0.3677964246079276,3,0,-1,0.00910194174757284
CPSS,2026-02-12T05:00:00+00:00,0.33720930232558144,0.265852840462388,1,0,0,0.3672003690848729,3,0,-1,-0.013641755634638209
CRL,2025-11-21T05:00:00+00:00,0.5,0.3259758507254165,0,0,0,0.3398476590635014,3,0,0,0.0076354092102124405
CRL,2026-01-22T05:00:00+00:00,0.3846153846153846,0.3287458274326938,0,0,0,0.3385828915887214,3,0,0,-0.24599384011069947
CRL,2026-02-12T05:00:00+00:00,0.4642857142857143,0.32463808166999186,1,0,0,0.3712185036695018,3,0,0,0.06413002393851563
CRSP,2025-11-21T05:00:00+00:00,0.3,0.2784760287723492,1,0,1,0.3737439880168622,3,2,-1,0.06430420067688636
CRSP,2026-01-22T05:00:00+00:00,0.27142857142857146,0.27913672150124486,1,0,1,0.37998760142639126,3,2,-1,-0.12086827824370994
CRSP,2026-02-12T05:00:00+00:00,0.3108108108108108,0.2760032738471063,1,0,0,0.35619200816626134,3,0,-1,0.09258123850398525
CSV,2025-11-21T05:00:00+00:00,0.5,0.3865298459729102,-1,0,1,0.3392861998088075,3,2,0,0.06001890359168249
CSV,2026-01-22T05:00:00+00:00,0.5555555555555556,0.36364807037041974,1,0,0,0.339797046727936,3,0,0,0.038906901343214395
CSV,2026-02-12T05:00:00+00:00,0.5555555555555556,0.35529781713654984,1,0,0,0.3399846901744505,3,0,0,0.03435554530781659
CTRA,2025-11-21T05:00:00+00:00,0.39999999999999997,0.49254472494529483,1,0,0,0.6666666666666666,3,0,0,0.21475728155339802
CTRA,2026-01-22T05:00:00+00:00,0.39999999999999997,0.49254771039553713,1,0,0,0.6666666666666666,3,0,0,0.14662756598240478
CTRA,2026-02-12T05:00:00+00:00,0.39999999999999997,0.4925618407659734,1,0,0,0.6666666666666666,3,0,0,0.01624431448992847
CTRN,2025-11-21T05:00:00+00:00,0.4680851063829787,0.2945342396664155,-1,0,1,0.3463477142885765,3,2,-1,0.08351228823669765
CTRN,2026-01-22T05:00:00+00:00,0.4787234042553191,0.2969799485310696,1,0,0,0.33737783016995304,3,0,-1,0.05999066293183919
CTRN,2026-02-12T05:00:00+00:00,0.4787234042553191,0.2978919249018133,1,0,0,0.33710908980805204,3,0,-1,0.019418565495566087
DCBO,2025-11-21T05:00:00+00:00,0.5217391304347826,0.3290928306001706,1,0,0,0.35467153727227013,3,0,-1,-0.188357785139612
