symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
CTRN,2026-02-12T05:00:00+00:00,0.4787234042553191,0.2978919249018133,1,0,0,0.33710908980805204,3,0,-1,0.019418565495566087
CUB,2026-02-06T05:00:00+00:00,0.475,0.3256507424073889,1,0,1,0.39345212923935213,3,2,0,0.00093545369504211
CURV,2026-02-12T05:00:00+00:00,0.3153153153153153,0.2840201689484559,1,0,1,0.3490403357237368,3,2,-1,0.028037383177570208
CVBF,2026-02-12T05:00:00+00:00,0.39999999999999997,0.4649116148727049,1,0,1,0.3706561081535402,3,2,0,0.0014669926650368037
CVI,2026-02-12T05:00:00+00:00,0.4375,0.2816997138294632,1,0,1,0.342954963098113,3,2,-1,-0.09162647961420434
CVLG,2026-02-12T05:00:00+00:00,0.4444444444444445,0.2770402773792353,1,0,1,0.3741687200395568,3,2,0,0.05092592592592604
CXT,2026-02-12T05:00:00+00:00,0.375,0.5317616137504888,1,0,1,0.5471520310914357,3,2,0,-0.0261682242990654
CZFS,2026-02-12T05:00:00+00:00,0.5,0.304956039896483,1,0,1,0.3414000921230498,3,2,0,-0.0015855398763279238
CZR,2026-02-12T05:00:00+00:00,0.36,0.26447038267839873,1,0,1,0.3585602514408147,3,2,-1,0.11736842105263157
DAR,2026-02-12T05:00:00+00:00,0.3333333333333333,0.5412235869875629,1,0,1,0.4856867661143208,3,2,0,0.02564102564102555
DCBO,2026-02-12T05:00:00+00:00,0.5217391304347826,0.3362389355823415,1,0,0,0.35489727198247256,3,0,-1,-0.08239700374531844
DCO,2026-02-12T05:00:00+00:00,0.5,0.5160967700963451,1,0,0,0.5265638513158313,3,0,0,0.05342876165113175
DDOG,2026-02-12T05:00:00+00:00,0.4305555555555555,0.2831881884938318,1,0,0,0.40005435081297347,3,0,-1,-0.08300959327677793
DECK,2026-02-12T05:00:00+00:00,0.5555555555555556,0.31091236112525894,1,0,1,0.35611179312490215,3,2,0,0.023013273573521786
DFH,2026-02-12T05:00:00+00:00,0.46,0.29709103994123465,1,0,1,0.3456644659471524,3,2,-1,0.004904364884747325
DG,2026-02-12T05:00:00+00:00,0.39999999999999997,0.37502486702472154,1,0,0,0.33982470866679937,3,0,0,0.014001077005923346
DHI,2026-02-12T05:00:00+00:00,0.6666666666666667,0.5890215728270601,1,0,0,0.4499324492655983,3,0,0,-0.0028555805334467
DIT,2026-02-11T05:00:00+00:00,0.4390243902439024,0.26930432140267896,1,0,0,0.39882862456812224,3,0,-1,-0.009823008849557557
DKS,2026-02-12T05:00:00+00:00,0.3421052631578948,0.3271455007763107,1,0,0,0.42319829364864614,3,0,0,0.034667870760586084
DLX,2026-02-12T05:00:00+00:00,0.625,0.32574708140122777,1,0,0,0.37541294401816816,3,0,0,0.052163833075734134
DNN,2026-02-12T05:00:00+00:00,0.30701754385964913,0.23470582579033358,1,0,0,0.35641598840872585,3,0,-1,0.06005221932114879
DNOW,2026-02-12T05:00:00+00:00,0.625,0.30224027098733824,1,0,0,0.3424685487501473,3,0,0,-0.1813118811881188
DRS,2026-02-12T05:00:00+00:00,0.35714285714285715,0.49243562624887766,1,0,1,0.3760505160162819,3,2,0,0.059835848557055815
DSGR,2026-02-12T05:00:00+00:00,0.44999999999999996,0.4189301487458903,1,0,1,0.3547572849309795,3,2,0,-0.004538087520259304
DSGX,2026-02-12T05:00:00+00:00,0.5,0.5540620942899924,1,0,1,0.6666666666666666,3,2,0,0.03646477132262049
DSP,2026-02-12T05:00:00+00:00,0.3819444444444444,0.2591092096517758,1,0,0,0.3437536588357911,3,0,-1,-0.013499480789200491
DSWL,2026-02-12T05:00:00+00:00,0.5,0.3073295824974588,1,0,0,0.36091636062094995,3,0,0,0.028571428571428692
DT,2026-02-12T05:00:00+00:00,0.49999999999999994,0.3483424856370816,1,0,0,0.33815570507994697,3,0,0,-0.03172866520787754
DUOL,2026-02-12T05:00:00+00:00,0.36538461538461536,0.2749573265325334,1,0,0,0.3724650909150888,3,0,-1,0.007942882641677862
DY,2026-02-12T05:00:00+00:00,0.34375,0.3408097788384622,1,0,0,0.34600429023899987,3,0,0,0.029712697385761988
EAT,2026-02-12T05:00:00+00:00,0.43333333333333335,0.34955375884590584,1,0,1,0.44801865143788133,3,2,0,-0.09856035437430777
EBC,2026-02-12T05:00:00+00:00,0.5,0.5758055854596462,1,0,1,0.39196330253045486,3,2,0,0
EDN,2026-02-12T05:00:00+00:00,0.3333333333333333,0.27438365864893666,1,0,1,0.3841358240541157,3,2,-1,-0.013834693153600641
EFCpB,2026-02-12T05:00:00+00:00,0.39999999999999997,0.439864587809695,1,0,1,0.5156670379467889,3,2,0,-0.0014585908529047842
