step,file,chunk,phi,H,energy,visual,auditory,smell,taste,touch,emotion,lexical
86,Frankenstein.txt,17,0.500,0.000,0.500,0.909,0.916,0.937,0.934,0.951,0.852,0.000
87,Frankenstein.txt,18,0.500,0.000,0.500,0.931,0.924,0.935,0.944,0.943,0.548,0.000
88,Frankenstein.txt,19,0.500,0.000,0.500,0.936,0.891,0.934,0.945,0.911,0.747,0.000
89,Frankenstein.txt,20,0.500,0.000,0.500,0.920,0.917,0.952,0.921,0.937,0.860,0.000
90,Frankenstein.txt,21,0.500,0.000,0.500,0.834,0.921,0.950,0.921,0.954,0.721,0.000
91,Frankenstein.txt,22,0.500,0.000,0.500,0.857,0.940,0.923,0.930,0.944,0.796,0.000
92,Frankenstein.txt,23,0.500,0.000,0.500,0.875,0.909,0.897,0.936,0.961,0.876,0.000
93,Frankenstein.txt,24,0.500,0.000,0.500,0.855,0.913,0.890,0.963,0.957,0.762,0.000
94,Frankenstein.txt,25,0.500,0.000,0.500,0.891,0.948,0.903,0.951,0.947,0.486,0.000
95,Frankenstein.txt,26,0.500,0.000,0.500,0.901,0.941,0.919,0.967,0.965,0.340,0.000
96,Frankenstein.txt,27,0.500,0.000,0.500,0.929,0.936,0.893,0.944,0.964,0.576,0.000
97,Frankenstein.txt,28,0.500,0.000,0.500,0.872,0.937,0.924,0.909,0.953,0.654,0.000
98,Frankenstein.txt,29,0.500,0.000,0.500,0.877,0.941,0.896,0.911,0.938,0.434,0.000
99,Frankenstein.txt,30,0.500,0.000,0.500,0.908,0.943,0.895,0.927,0.891,0.316,0.000
100,Frankenstein.txt,31,0.500,0.000,0.500,0.870,0.908,0.907,0.930,0.846,0.549,0.000
101,Frankenstein.txt,32,0.500,0.000,0.500,0.905,0.924,0.907,0.893,0.913,0.346,0.000
102,Frankenstein.txt,33,0.500,0.000,0.500,0.914,0.921,0.921,0.856,0.928,0.589,0.000
103,Frankenstein.txt,34,0.500,0.000,0.500,0.914,0.910,0.953,0.899,0.949,0.403,0.000
104,Frankenstein.txt,35,0.500,0.000,0.500,0.898,0.932,0.965,0.928,0.908,0.668,0.000
105,Frankenstein.txt,36,0.500,0.000,0.500,0.922,0.939,0.896,0.932,0.936,0.449,0.000
